game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium,Month,Regular_Post,Full Name Away,Full Name Home,Winning Team,Losing Team,PtsW,PtsL,YdsW,TOW,YdsL,TOL,Game Name
2024_01_BAL_KC,2024,REG,1,2024-09-05,Thursday,08:20PM,BAL,20.0,KAN,27.0,Home,7.0,47.0,0.0,7,7,124.0,-148.0,3.0,-118.0,-102.0,46.0,-110.0,-110.0,0,outdoors,grass,67.0,8.0,Lamar Jackson,Patrick Mahomes,John Harbaugh,Andy Reid,Shawn Hochuli,GEHA Field at Arrowhead Stadium,9,REG,Baltimore Ravens,Kansas City Chiefs,Kansas City Chiefs,Baltimore Ravens,27,20,353,1,452,1,Thursday Night
2024_01_GB_PHI,2024,REG,1,2024-09-06,Friday,08:15PM,GNB,29.0,PHI,34.0,Neutral,5.0,63.0,0.0,7,7,110.0,-130.0,2.0,-110.0,-110.0,49.5,-112.0,-108.0,0,outdoors,grass,0.0,0.0,Jordan Love,Jalen Hurts,Matt LaFleur,Nick Sirianni,Ron Torbert,Arena Corinthians,9,REG,Green Bay Packers,Philadelphia Eagles,Philadelphia Eagles,Green Bay Packers,34,29,410,3,414,1,International
2024_01_PIT_ATL,2024,REG,1,2024-09-08,Sunday,01:00PM,PIT,18.0,ATL,10.0,Home,-8.0,28.0,0.0,7,7,160.0,-192.0,4.0,-110.0,-110.0,43.0,-115.0,-105.0,0,closed,artificial,0.0,0.0,Justin Fields,Kirk Cousins,Mike Tomlin,Raheem Morris,Brad Rogers,Mercedes-Benz Stadium,9,REG,Pittsburgh Steelers,Atlanta Falcons,Pittsburgh Steelers,Atlanta Falcons,18,10,270,0,226,3,Sunday Afternoon
2024_01_ARI_BUF,2024,REG,1,2024-09-08,Sunday,01:00PM,ARI,28.0,BUF,34.0,Home,6.0,62.0,0.0,7,7,250.0,-310.0,6.5,-105.0,-115.0,46.0,-112.0,-108.0,0,outdoors,grass,61.0,20.0,Kyler Murray,Josh Allen,Jonathan Gannon,Sean McDermott,Tra Blake,New Era Field,9,REG,Arizona Cardinals,Buffalo Bills,Buffalo Bills,Arizona Cardinals,34,28,352,1,270,1,Sunday Afternoon
2024_01_TEN_CHI,2024,REG,1,2024-09-08,Sunday,01:00PM,TEN,17.0,CHI,24.0,Home,7.0,41.0,0.0,7,7,164.0,-198.0,4.0,-108.0,-112.0,43.0,-110.0,-110.0,0,outdoors,grass,67.0,8.0,Will Levis,Caleb Williams,Brian Callahan,Matt Eberflus,Shawn Smith,Soldier Field,9,REG,Tennessee Titans,Chicago Bears,Chicago Bears,Tennessee Titans,24,17,148,1,244,3,Sunday Afternoon
2024_01_NE_CIN,2024,REG,1,2024-09-08,Sunday,01:00PM,NWE,16.0,CIN,10.0,Home,-6.0,26.0,0.0,7,7,295.0,-375.0,8.0,-110.0,-110.0,40.5,-112.0,-108.0,0,outdoors,grass,66.0,5.0,Jacoby Brissett,Joe Burrow,Jerod Mayo,Zac Taylor,Land Clark,Paycor Stadium,9,REG,New England Patriots,Cincinnati Bengals,New England Patriots,Cincinnati Bengals,16,10,290,0,224,2,Sunday Afternoon
2024_01_HOU_IND,2024,REG,1,2024-09-08,Sunday,01:00PM,HOU,29.0,IND,27.0,Home,-2.0,56.0,0.0,7,7,-155.0,130.0,-3.0,-108.0,-112.0,49.0,-112.0,-108.0,1,closed,artificial,0.0,0.0,C.J. Stroud,Anthony Richardson,DeMeco Ryans,Shane Steichen,John Hussey,Lucas Oil Stadium,9,REG,Houston Texans,Indianapolis Colts,Houston Texans,Indianapolis Colts,29,27,417,0,303,1,Sunday Afternoon
2024_01_JAX_MIA,2024,REG,1,2024-09-08,Sunday,01:00PM,JAX,17.0,MIA,20.0,Home,3.0,37.0,0.0,7,7,150.0,-180.0,3.5,-110.0,-110.0,49.5,-112.0,-108.0,0,outdoors,grass,91.0,10.0,Trevor Lawrence,Tua Tagovailoa,Doug Pederson,Mike McDaniel,Craig Wrolstad,Hard Rock Stadium,9,REG,Jacksonville Jaguars,Miami Dolphins,Miami Dolphins,Jacksonville Jaguars,20,17,400,0,267,1,Sunday Afternoon
2024_01_CAR_NO,2024,REG,1,2024-09-08,Sunday,01:00PM,CAR,10.0,NOR,47.0,Home,37.0,57.0,0.0,7,7,160.0,-192.0,3.5,-108.0,-112.0,41.5,-112.0,-108.0,1,dome,artificial,0.0,0.0,Bryce Young,Derek Carr,Dave Canales,Dennis Allen,Alan Eck,Mercedes-Benz Superdome,9,REG,Carolina Panthers,New Orleans Saints,New Orleans Saints,Carolina Panthers,47,10,379,1,193,3,Sunday Afternoon
2024_01_MIN_NYG,2024,REG,1,2024-09-08,Sunday,01:00PM,MIN,28.0,NYG,6.0,Home,-22.0,34.0,0.0,7,7,-115.0,-105.0,-1.0,-108.0,-112.0,42.5,-108.0,-112.0,0,outdoors,grass,64.0,10.0,Sam Darnold,Daniel Jones,Kevin O'Connell,Brian Daboll,Alex Kemp,MetLife Stadium,9,REG,Minnesota Vikings,New York Giants,Minnesota Vikings,New York Giants,28,6,312,2,240,2,Sunday Afternoon
2024_01_LV_LAC,2024,REG,1,2024-09-08,Sunday,04:05PM,LVR,10.0,LAC,22.0,Home,12.0,32.0,0.0,7,7,130.0,-155.0,3.0,-118.0,-102.0,41.0,-108.0,-112.0,1,dome,artificial,0.0,0.0,Gardner Minshew,Justin Herbert,Antonio Pierce,Jim Harbaugh,Scott Novak,SoFi Stadium,9,REG,Las Vegas Raiders,Los Angeles Chargers,Los Angeles Chargers,Las Vegas Raiders,22,10,316,0,296,3,Sunday Afternoon
2024_01_DEN_SEA,2024,REG,1,2024-09-08,Sunday,04:05PM,DEN,20.0,SEA,26.0,Home,6.0,46.0,0.0,7,7,225.0,-278.0,6.5,-110.0,-110.0,42.0,-108.0,-112.0,0,outdoors,grass,65.0,7.0,Bo Nix,Geno Smith,Sean Payton,Mike Macdonald,Brad Allen,Lumen Field,9,REG,Denver Broncos,Seattle Seahawks,Seattle Seahawks,Denver Broncos,26,20,304,2,231,3,Sunday Afternoon
2024_01_DAL_CLE,2024,REG,1,2024-09-08,Sunday,04:25PM,DAL,33.0,CLE,17.0,Home,-16.0,50.0,0.0,7,7,110.0,-130.0,2.5,-112.0,-108.0,42.0,-108.0,-112.0,0,outdoors,grass,69.0,17.0,Dak Prescott,Deshaun Watson,Mike McCarthy,Kevin Stefanski,Clete Blakeman,FirstEnergy Stadium,9,REG,Dallas Cowboys,Cleveland Browns,Dallas Cowboys,Cleveland Browns,33,17,265,0,230,2,Sunday Afternoon
2024_01_WAS_TB,2024,REG,1,2024-09-08,Sunday,04:25PM,WAS,20.0,TAM,37.0,Home,17.0,57.0,0.0,7,7,164.0,-198.0,4.0,-112.0,-108.0,42.0,-110.0,-110.0,0,outdoors,grass,93.0,6.0,Jayden Daniels,Baker Mayfield,Dan Quinn,Todd Bowles,Bill Vinovich,Raymond James Stadium,9,REG,Washington Commanders,Tampa Bay Buccaneers,Tampa Bay Buccaneers,Washington Commanders,37,20,392,0,299,0,Sunday Afternoon
2024_01_LA_DET,2024,REG,1,2024-09-08,Sunday,08:20PM,LAR,20.0,DET,26.0,Home,6.0,46.0,1.0,7,7,185.0,-225.0,5.0,-108.0,-112.0,54.0,-112.0,-108.0,0,dome,artificial,0.0,0.0,Matthew Stafford,Jared Goff,Sean McVay,Dan Campbell,Adrian Hill,Ford Field,9,REG,Los Angeles Rams,Detroit Lions,Detroit Lions,Los Angeles Rams,26,20,363,1,387,1,Sunday Night
2024_01_NYJ_SF,2024,REG,1,2024-09-09,Monday,08:15PM,NYJ,19.0,SFO,32.0,Home,13.0,51.0,0.0,7,7,150.0,-180.0,3.5,-115.0,-105.0,43.0,-108.0,-112.0,0,outdoors,grass,76.0,10.0,Aaron Rodgers,Brock Purdy,Robert Saleh,Kyle Shanahan,Carl Cheffers,Levi's Stadium,9,REG,New York Jets,San Francisco 49ers,San Francisco 49ers,New York Jets,32,19,401,0,266,2,Monday Night
